port,city,yr2019,yr2020,yr2021,yr2022,total,lat,lng,offset2019,offset2020,offset2021,offset2022,offsetTotal,offsetNS,offsetEW,offsetLat,offsetLng
Port of New York and New Jersey,"New York, N.Y.; Bayonne, N.J.; Elizabeth, N.J.",662994,82980,758810,776167,2280951,40.668333,-74.045556,,,,,,,,,
Port of Charleston,"Charleston, S.C.",210542,21482,244821,216097,692942,32.7846,-79.924,387022,60960,449916,530800,1428698,N,N,32.128705,-81.151907
Port of Savannah,"Savannah, Ga.",387022,60960,449916,530800,1428698,32.128705,-81.151907,210542,21482,244821,216097,692942,S,S,32.7846,-79.924
Port Houston,"Houston, Texas",259993,40770,297621,328498,926882,29.716667,-95.25,,,,,,,,,
Port of Long Beach,"Long Beach, Calif.",621781,87128,784845,785843,2279597,33.755,-118.215,912154,106478,890800,935424,2844856,N,E,33.755,-118.215
Port of Los Angeles,"Los Angeles, Calif.",912154,106478,890800,935424,2844856,33.73,-118.2625,621781,87128,784845,785843,2279597,S,W,33.73,-118.2625
Port of Oakland,"Oakland, Calif.",218191,27495,211395,160356,617437,37.795533,-122.284603,,,,,,,,,
Northwest Seaport Alliance,"Seattle, Wash.; Tacoma, Wash.",326515,31097,309722,260572,927906,47.265194,-122.412722,,,,,,,,,
Port of Virginia,"Norfolk, Va.",265559,28106,293126,317691,904482,36.846944,-76.285278,,,,,,,,,
